21700,127.5591,38.7484
21800,129.1409,38.0193
21900,129.3623,35.4951
22000,127.6736,33.4269
22100,125.5562,37.0893
22200,121.7533,37.8818
22300,130.2792,33.0961
22400,131.3384,34.7787
22500,134.7732,35.0965
22600,137.1339,34.9653
22700,129.5520,34.3378
22800,118.3256,37.2934
22900,136.5735,31.6120
23000,127.6165,37.0217
23100,137.3489,31.9959
23200,145.6913,38.4810
23300,139.8590,35.0655
23400,138.5515,35.0832
23500,143.0380,39.2652
23600,141.5439,34.6901
23700,148.8533,36.6028
23800,133.8657,35.6375
23900,137.0923,37.3541
24000,145.3933,36.1822
24100,140.2044,37.5361
24200,134.8948,35.6001
24300,140.1501,32.3993
24400,141.5276,41.0631
24500,143.1368,39.2860
24600,140.5283,32.8422
24700,136.6757,37.4506
24800,136.9180,32.9914
24900,140.5364,34.1527
25000,142.1149,38.5602
25100,137.2969,36.6619
25200,142.1683,34.1485
25300,142.0889,41.6679
25400,147.7651,36.8070
25500,142.0294,33.5889
25600,140.4715,33.4557
25700,144.8671,36.2389
25800,150.0455,30.5505
25900,145.0439,34.5776
26000,139.5631,34.4028
26100,137.5853,32.1446
26200,137.6227,38.3331
26300,147.1849,35.1170
26400,155.9392,36.2270
26500,145.1125,32.9462
26600,147.3414,35.7051
26700,150.2393,35.2931
26800,141.9854,36.8076
26900,151.3047,40.1107
27000,149.1670,37.2220
27100,135.8477,38.6814
27200,143.1779,36.7469
27300,148.2874,36.5332
27400,148.4400,32.4775
27500,145.1588,32.4941
27600,146.8624,32.1683
27700,153.3268,34.4547
27800,143.8846,35.8410
27900,149.3625,35.4161
28000,152.6467,39.4097
28100,148.2854,28.5467
28200,152.3789,35.0814
28300,147.5605,33.3019
28400,157.1997,34.8177
28500,154.1454,33.4206
28600,147.7938,36.3766
28700,155.2043,35.3883
28800,147.2624,36.3653
28900,153.1792,30.8874
29000,151.6145,34.4736
29100,152.5251,35.2240
29200,151.9526,36.0502
29300,150.1578,35.1501
29400,149.0393,35.6221
29500,157.3326,35.9245
29600,146.4953,35.4082
29700,155.0129,35.4455
29800,155.8607,36.2730
29900,156.8174,36.3254
